id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CIVPART,2024-09-30,2024-09-30,Labor Force Participation Rate,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:02-05:00,84,"The series comes from the 'Current Population Survey (Household Survey)' The source code is: LNS11300000  The Labor Force Participation Rate is defined by the Current Population Survey (CPS) as “the number of people in the labor force as a percentage of the civilian noninstitutional population […] the participation rate is the percentage of the population that is either working or actively looking for work.”   The Labor Force Participation Rate is collected in the CPS and published by the BLS. It is provided on a monthly basis, so this data is used in part by macroeconomists as an initial economic indicator of current labor market trends. The labor force participation rate helps government agencies, financial markets, and researchers gauge the overall health of the economy.   Note that long-run changes in labor force participation may reflect secular economic trends that are unrelated to the overall health of the economy. For instance, demographic changes such as the aging of population can lead to a secular increase of exits from the labor force, shrinking the labor force and decreasing the labor force participation rate.   For more information, see: U.S. Bureau of Labor Statistics, CES Overview (https://www.bls.gov/web/empsit/cesprog.htm) U.S. Bureau of Labor Statistics, Concepts and Definitions (CPS) (https://www.bls.gov/cps/definitions.htm#lfpr)"
LNS11300060,2024-09-30,2024-09-30,Labor Force Participation Rate - 25-54 Yrs.,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:04-05:00,70,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300060
LNS11300002,2024-09-30,2024-09-30,Labor Force Participation Rate - Women,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:05-05:00,66,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300002"
LNS11300001,2024-09-30,2024-09-30,Labor Force Participation Rate - Men,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:06-05:00,61,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300001
LNS11324230,2024-09-30,2024-09-30,Labor Force Participation Rate - 55 Yrs. & over,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:07-05:00,54,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11324230
LNS11300012,2024-09-30,2024-09-30,Labor Force Participation Rate - 16-19 Yrs.,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:08-05:00,49,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300012
LNS11300006,2024-09-30,2024-09-30,Labor Force Participation Rate - Black or African American,1972-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:08-05:00,44,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300006
LNS11300036,2024-09-30,2024-09-30,Labor Force Participation Rate - 20-24 Yrs.,1948-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:09-05:00,39,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300036
LNS11327662,2024-09-30,2024-09-30,"Labor Force Participation Rate - Bachelor's Degree and Higher, 25 Yrs. & over",1992-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:10-05:00,32,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11327662
LBSSA06,2024-09-30,2024-09-30,Labor Force Participation Rate for California,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA06
LNS11300028,2024-09-30,2024-09-30,"Labor Force Participation Rate - 20 Yrs. & over, White Men",1954-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:11-05:00,31,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300028
LNS11300031,2024-09-30,2024-09-30,"Labor Force Participation Rate - 20 Yrs. & over, Black or African American Men",1972-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:11-05:00,27,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300031
LBSSA01,2024-09-30,2024-09-30,Labor Force Participation Rate for Alabama,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA01
LNS11300003,2024-09-30,2024-09-30,Labor Force Participation Rate - White,1954-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:12-05:00,25,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300003
LNS11327660,2024-09-30,2024-09-30,"Labor Force Participation Rate - High School Graduates, No College, 25 Yrs. & over",1992-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:14-05:00,19,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11327660
LBSSA36,2024-09-30,2024-09-30,Labor Force Participation Rate for New York,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,23,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA36
LNS11300029,2024-09-30,2024-09-30,"Labor Force Participation Rate - 20 Yrs. & over, White Women",1954-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:13-05:00,22,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300029"
LBSSA26,2024-09-30,2024-09-30,Labor Force Participation Rate for Michigan,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,22,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA26
LBSSA28,2024-09-30,2024-09-30,Labor Force Participation Rate for Mississippi,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:02-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA28
LNS11300009,2024-09-30,2024-09-30,Labor Force Participation Rate - Hispanic or Latino,1973-03-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:13-05:00,21,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300009
LNS11300032,2024-09-30,2024-09-30,"Labor Force Participation Rate - 20 Yrs. & over, Black or African American Women",1972-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-06 07:47:12-05:00,21,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS11300032"
