id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
LBSSA06,2024-10-01,2024-10-01,Labor Force Participation Rate for California,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA06
LBSSA01,2024-10-01,2024-10-01,Labor Force Participation Rate for Alabama,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA01
LBSSA36,2024-10-01,2024-10-01,Labor Force Participation Rate for New York,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,23,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA36
LBSSA26,2024-10-01,2024-10-01,Labor Force Participation Rate for Michigan,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,22,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA26
LBSSA28,2024-10-01,2024-10-01,Labor Force Participation Rate for Mississippi,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:02-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA28
LBSSA48,2024-10-01,2024-10-01,Labor Force Participation Rate for Texas,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA48
LBSSA12,2024-10-01,2024-10-01,Labor Force Participation Rate for Florida,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA12
LBSSA21,2024-10-01,2024-10-01,Labor Force Participation Rate for Kentucky,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA21
LBSSA39,2024-10-01,2024-10-01,Labor Force Participation Rate for Ohio,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:09-05:00,14,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA39
LBSSA55,2024-10-01,2024-10-01,Labor Force Participation Rate for Wisconsin,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,18,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA55
LBSSA42,2024-10-01,2024-10-01,Labor Force Participation Rate for Pennsylvania,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,17,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA42
LBSSA25,2024-10-01,2024-10-01,Labor Force Participation Rate for Massachusetts,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:10-05:00,17,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA25
LBSSA54,2024-10-01,2024-10-01,Labor Force Participation Rate for West Virginia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA54
LBSSA27,2024-10-01,2024-10-01,Labor Force Participation Rate for Minnesota,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA27
LBSSA47,2024-10-01,2024-10-01,Labor Force Participation Rate for Tennessee,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA47
LBSSA24,2024-10-01,2024-10-01,Labor Force Participation Rate for Maryland,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA24
LBSSA23,2024-10-01,2024-10-01,Labor Force Participation Rate for Maine,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA23
LBSSA37,2024-10-01,2024-10-01,Labor Force Participation Rate for North Carolina,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA37
LBSSA17,2024-10-01,2024-10-01,Labor Force Participation Rate for Illinois,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA17
LBSSA22,2024-10-01,2024-10-01,Labor Force Participation Rate for Louisiana,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA22
LBSSA13,2024-10-01,2024-10-01,Labor Force Participation Rate for Georgia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA13
